Order_ID,Optimized_Route
ORD_11,"[(0, 1), (0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0)]"
ORD_12,"[(0, 26), (0, 25), (1, 25), (2, 25), (2, 24), (2, 23), (2, 22), (2, 21), (2, 20), (2, 19), (2, 18), (3, 18), (3, 17), (3, 16), (3, 15), (3, 14), (3, 13), (3, 12), (3, 11), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (1, 4), (1, 3), (1, 2), (1, 1), (0, 1), (0, 0)]"
ORD_13,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (19, 8), (20, 8), (21, 8), (22, 8), (22, 9), (23, 9), (24, 9), (25, 9), (26, 9), (27, 9), (28, 9), (28, 10), (28, 11), (29, 11), (30, 11), (31, 11), (32, 11), (33, 11), (34, 11), (34, 12), (35, 12), (36, 12), (37, 12), (37, 13), (38, 13), (39, 13)]"
ORD_14,"[(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (4, 16), (4, 17)]"
ORD_15,"[(27, 21), (27, 20), (28, 20), (29, 20), (30, 20), (31, 20), (31, 21), (32, 21), (33, 21), (33, 22), (33, 23), (34, 23), (34, 24)]"
ORD_16,"[(46, 4), (45, 4), (45, 5), (45, 6), (45, 7), (45, 8), (44, 8), (43, 8), (43, 9), (42, 9), (42, 10), (41, 10), (41, 11), (40, 11), (40, 12), (40, 13), (39, 13), (39, 14), (38, 14), (37, 14), (36, 14), (35, 14), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 15), (30, 16), (29, 16), (29, 17), (29, 18), (29, 19), (28, 19), (27, 19), (26, 19), (26, 20), (25, 20), (24, 20), (23, 20), (22, 20), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 23), (15, 23), (14, 23), (13, 23), (12, 23), (11, 23), (10, 23), (10, 24), (9, 24), (9, 25), (8, 25), (7, 25), (7, 26), (6, 26), (5, 26), (5, 25), (4, 25), (3, 25), (2, 25), (1, 25), (0, 25)]"
ORD_17,"[(35, 17), (34, 17), (34, 18), (33, 18), (32, 18), (31, 18), (30, 18), (29, 18), (29, 19), (28, 19), (27, 19), (26, 19), (26, 20), (25, 20), (24, 20), (23, 20), (22, 20), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 23), (15, 23), (14, 23), (13, 23), (12, 23), (11, 23), (10, 23), (10, 24), (9, 24), (9, 25), (8, 25), (7, 25), (7, 26), (6, 26), (5, 26), (5, 25), (4, 25), (3, 25), (2, 25), (2, 24), (1, 24), (0, 24)]"
ORD_18,"[(30, 22), (30, 21), (29, 21), (29, 20), (28, 20), (27, 20), (26, 20), (25, 20), (24, 20), (23, 20), (22, 20), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (12, 20), (12, 19), (11, 19), (11, 18), (10, 18), (10, 17), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16), (5, 16), (4, 16), (3, 16), (3, 15), (2, 15), (1, 15), (0, 15)]"
ORD_19,"[(41, 11), (40, 11), (39, 11), (38, 11), (38, 10), (37, 10), (36, 10), (35, 10), (35, 9), (34, 9), (33, 9), (32, 9), (32, 8), (31, 8), (31, 7), (31, 6), (30, 6), (30, 5), (29, 5), (28, 5), (28, 4), (27, 4), (27, 3), (26, 3), (26, 2), (26, 1), (26, 0), (25, 0)]"
ORD_20,"[(0, 13), (0, 12), (0, 11), (1, 11), (2, 11), (3, 11), (3, 10), (4, 10), (5, 10), (5, 9), (6, 9), (7, 9), (7, 8), (7, 7), (8, 7), (8, 6), (9, 6), (9, 5), (10, 5), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2), (17, 2), (18, 2), (18, 1), (19, 1), (19, 0), (20, 0), (21, 0), (22, 0), (23, 0), (24, 0), (25, 0)]"
ORD_21,"[(29, 17), (29, 16), (30, 16), (30, 15), (30, 14), (31, 14), (32, 14), (33, 14), (33, 13), (33, 12), (33, 11), (33, 10), (34, 10), (34, 9), (34, 8), (34, 7), (35, 7), (35, 6), (36, 6), (36, 5)]"
ORD_22,"[(0, 0)]"
ORD_23,"[(20, 0), (19, 0), (19, 1), (18, 1), (18, 2), (17, 2), (16, 2), (15, 2), (14, 2), (14, 3), (13, 3), (12, 3), (11, 3), (11, 2), (10, 2), (9, 2), (8, 2), (8, 3), (7, 3), (6, 3), (5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3)]"
ORD_24,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (19, 8), (19, 9), (20, 9), (20, 10), (20, 11), (21, 11), (21, 12), (21, 13), (22, 13), (22, 14), (22, 15), (22, 16), (22, 17), (23, 17), (23, 18), (23, 19), (23, 20), (24, 20), (24, 21), (24, 22), (25, 22), (26, 22), (26, 23), (26, 24)]"
ORD_25,"[(17, 0), (16, 0), (15, 0), (14, 0), (13, 0), (12, 0)]"
ORD_26,"[(10, 0), (10, 1), (11, 1), (11, 2), (11, 3), (11, 4), (10, 4), (10, 5), (9, 5), (9, 6), (8, 6), (8, 7), (7, 7), (7, 8), (7, 9), (6, 9), (5, 9), (5, 10), (5, 11), (5, 12), (4, 12), (4, 13), (3, 13), (3, 14), (3, 15), (3, 16), (4, 16), (4, 17), (4, 18), (4, 19), (4, 20), (4, 21), (4, 22), (4, 23), (4, 24), (3, 24), (3, 25), (3, 26), (3, 27), (2, 27), (2, 28), (2, 29), (1, 29), (0, 29)]"
ORD_27,"[(15, 15), (15, 16), (15, 17), (16, 17), (17, 17), (17, 18), (17, 19), (17, 20), (17, 21), (17, 22), (17, 23), (17, 24), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28)]"
ORD_28,"[(26, 15), (27, 15), (27, 14), (27, 13), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (29, 9), (29, 8), (30, 8), (31, 8), (31, 7), (32, 7), (33, 7), (34, 7), (35, 7), (35, 6), (36, 6), (37, 6), (38, 6), (38, 5), (38, 4), (38, 3), (38, 2), (39, 2), (40, 2), (41, 2), (41, 1), (41, 0), (42, 0)]"
ORD_29,"[(44, 0), (43, 0), (43, 1), (42, 1), (41, 1), (40, 1), (39, 1), (38, 1), (37, 1), (36, 1), (35, 1), (34, 1), (33, 1), (32, 1), (31, 1), (30, 1), (30, 0), (29, 0), (28, 0), (27, 0), (26, 0), (25, 0), (24, 0), (23, 0), (22, 0), (21, 0)]"
ORD_30,"[(23, 10), (23, 9), (22, 9), (22, 8), (21, 8), (20, 8), (19, 8), (18, 8), (17, 8), (17, 9), (16, 9), (16, 10), (15, 10), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (6, 12), (5, 12), (4, 12), (4, 11), (3, 11), (2, 11), (1, 11), (0, 11), (0, 12)]"
ORD_31,"[(0, 0), (0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (4, 12), (5, 12), (6, 12), (7, 12), (7, 13), (7, 14), (7, 15), (7, 16), (8, 16), (9, 16), (10, 16), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (12, 21), (12, 22), (12, 23), (13, 23), (14, 23), (15, 23), (15, 24), (16, 24), (16, 25), (16, 26), (16, 27)]"
ORD_32,"[(19, 3), (19, 2), (19, 1), (19, 0)]"
ORD_33,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0)]"
ORD_34,"[(23, 0), (23, 1), (24, 1), (24, 2), (24, 3), (24, 4), (25, 4), (25, 5), (25, 6), (25, 7), (25, 8), (25, 9), (25, 10), (25, 11), (25, 12), (26, 12), (26, 13), (27, 13), (27, 14), (27, 15), (28, 15), (28, 16), (29, 16), (29, 17), (29, 18), (29, 19), (30, 19), (31, 19), (32, 19), (32, 20), (32, 21), (33, 21), (33, 22), (34, 22), (35, 22), (36, 22), (36, 23)]"
ORD_35,"[(0, 37), (1, 37), (1, 36), (2, 36), (3, 36), (4, 36), (5, 36), (6, 36), (7, 36), (7, 35), (7, 34), (8, 34), (9, 34), (10, 34), (11, 34), (12, 34), (12, 33), (13, 33), (13, 32), (14, 32), (14, 31), (15, 31), (16, 31), (16, 30), (17, 30), (17, 29), (17, 28), (17, 27), (17, 26), (16, 26), (16, 25), (16, 24), (17, 24), (17, 23), (17, 22), (18, 22), (18, 21), (19, 21), (20, 21), (21, 21), (21, 20), (21, 19), (22, 19), (22, 18), (22, 17), (22, 16), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (24, 11), (24, 10), (25, 10), (25, 9), (25, 8), (25, 7), (26, 7), (26, 6), (26, 5), (26, 4), (26, 3), (26, 2), (27, 2), (28, 2), (28, 1), (28, 0)]"
ORD_36,"[(40, 32), (39, 32), (39, 33), (38, 33), (38, 32), (37, 32), (36, 32), (36, 31), (36, 30), (36, 29), (36, 28), (35, 28), (34, 28), (34, 27), (34, 26), (34, 25), (33, 25), (33, 24), (33, 23), (33, 22), (33, 21), (32, 21), (32, 20), (32, 19), (31, 19), (30, 19), (29, 19), (29, 18), (29, 17), (29, 16), (28, 16), (28, 15), (27, 15), (27, 14), (27, 13), (26, 13), (26, 12), (25, 12), (25, 11), (25, 10), (25, 9), (25, 8), (25, 7), (26, 7), (26, 6), (26, 5), (26, 4), (26, 3), (26, 2), (27, 2), (28, 2), (28, 1), (29, 1), (29, 0)]"
ORD_37,"[(0, 1), (0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (19, 8), (20, 8), (21, 8), (22, 8), (22, 9), (23, 9), (24, 9), (25, 9), (26, 9), (27, 9), (28, 9), (29, 9), (29, 8), (30, 8), (31, 8), (31, 7), (32, 7), (33, 7), (34, 7), (35, 7), (36, 7), (36, 8), (37, 8), (38, 8)]"
ORD_38,"[(1, 35), (1, 36), (2, 36), (3, 36), (4, 36), (5, 36), (6, 36), (7, 36), (7, 35), (7, 34), (8, 34), (9, 34), (10, 34), (11, 34), (12, 34), (12, 33), (13, 33), (13, 32), (14, 32), (14, 31), (15, 31), (16, 31), (17, 31), (18, 31), (19, 31), (20, 31), (20, 30), (21, 30), (22, 30), (22, 29), (23, 29), (24, 29), (25, 29), (25, 30), (26, 30), (27, 30), (27, 29), (28, 29), (29, 29), (30, 29), (31, 29), (32, 29), (33, 29), (34, 29), (34, 28), (34, 27), (34, 26), (35, 26), (36, 26), (37, 26), (38, 26)]"
ORD_39,"[(5, 16), (5, 15), (5, 14), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0)]"
ORD_40,"[(22, 34), (21, 34), (20, 34), (19, 34), (18, 34), (17, 34), (17, 33), (17, 32), (16, 32), (15, 32), (14, 32), (13, 32), (13, 33), (12, 33), (12, 34), (11, 34), (10, 34), (9, 34), (8, 34), (7, 34), (7, 33), (6, 33), (5, 33), (5, 32), (5, 31), (5, 30), (5, 29), (5, 28), (4, 28), (4, 27), (3, 27), (3, 26), (3, 25), (2, 25), (2, 24), (2, 23), (2, 22), (2, 21), (2, 20), (2, 19), (1, 19), (0, 19), (0, 18), (0, 17)]"
ORD_41,"[(0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (2, 6), (2, 7), (1, 7), (1, 8), (0, 8), (0, 9), (0, 10), (0, 11)]"
ORD_42,"[(1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (4, 16), (4, 17), (4, 18), (4, 19), (4, 20), (4, 21), (4, 22), (4, 23), (4, 24), (3, 24), (3, 25), (3, 26), (3, 27), (4, 27), (4, 28), (5, 28), (5, 29), (5, 30), (5, 31), (5, 32), (4, 32), (4, 33), (3, 33), (2, 33), (1, 33), (1, 34), (1, 35), (0, 35)]"
ORD_43,"[(0, 9), (0, 10), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (4, 12), (5, 12), (6, 12), (7, 12), (7, 13), (7, 14), (7, 15), (7, 16), (8, 16), (9, 16), (10, 16), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (12, 21), (13, 21), (14, 21), (15, 21), (16, 21), (17, 21), (18, 21), (19, 21), (20, 21), (21, 21), (22, 21), (23, 21), (23, 22), (24, 22), (25, 22), (26, 22), (26, 23), (27, 23), (28, 23), (29, 23), (30, 23), (30, 24), (31, 24), (31, 25), (32, 25), (33, 25), (34, 25), (34, 26), (34, 27), (34, 28), (35, 28), (36, 28), (37, 28), (37, 29), (38, 29), (38, 30), (39, 30), (40, 30), (41, 30), (42, 30), (43, 30), (43, 31), (44, 31)]"
ORD_44,"[(0, 0), (0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (4, 16), (4, 17), (4, 18), (4, 19), (4, 20), (5, 20), (5, 21), (5, 22), (6, 22), (6, 23), (7, 23), (7, 24), (7, 25), (7, 26), (7, 27), (7, 28), (7, 29), (7, 30), (7, 31), (7, 32), (7, 33), (7, 34), (8, 34), (8, 35), (8, 36), (8, 37), (9, 37), (9, 38), (9, 39), (10, 39)]"
ORD_45,"[(41, 0), (41, 1), (41, 2), (40, 2), (39, 2), (38, 2), (38, 3), (38, 4), (38, 5), (38, 6), (37, 6), (37, 7), (37, 8), (37, 9), (37, 10), (37, 11), (36, 11)]"
ORD_46,"[(0, 7), (0, 6), (0, 5), (0, 4), (1, 4), (1, 3), (1, 2), (1, 1), (0, 1), (0, 0)]"
ORD_47,"[(31, 0), (31, 1), (31, 2), (31, 3), (31, 4), (31, 5), (30, 5), (30, 6), (30, 7), (30, 8), (29, 8), (29, 9), (28, 9), (28, 10), (28, 11), (28, 12), (29, 12), (29, 13), (29, 14), (29, 15), (29, 16), (29, 17), (29, 18), (29, 19), (29, 20), (29, 21), (30, 21), (30, 22), (30, 23), (29, 23), (29, 24), (29, 25), (29, 26), (29, 27), (29, 28), (29, 29), (29, 30), (29, 31), (28, 31), (28, 32), (28, 33), (28, 34)]"
ORD_48,"[(37, 26), (36, 26), (36, 25), (36, 24), (36, 23), (36, 22), (35, 22), (34, 22), (33, 22), (33, 21), (33, 20), (33, 19), (33, 18), (33, 17), (33, 16), (33, 15), (33, 14), (33, 13), (33, 12), (33, 11), (32, 11), (32, 10), (32, 9), (32, 8), (31, 8), (31, 7), (31, 6), (31, 5), (31, 4), (31, 3), (31, 2), (31, 1), (31, 0), (32, 0)]"
ORD_49,"[(0, 21), (1, 21), (2, 21), (2, 20), (2, 19), (2, 18), (3, 18), (3, 17), (3, 16), (3, 15), (3, 14), (3, 13), (4, 13), (4, 12), (5, 12), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (7, 8), (7, 7), (8, 7), (8, 6), (9, 6), (9, 5), (10, 5), (10, 4), (11, 4), (11, 3), (11, 2), (11, 1), (10, 1), (10, 0), (11, 0)]"
ORD_50,"[(10, 33), (10, 34), (11, 34), (12, 34), (12, 33), (13, 33), (13, 32), (14, 32), (14, 31), (15, 31), (16, 31), (17, 31), (18, 31), (19, 31), (20, 31), (20, 30), (21, 30), (22, 30), (22, 29), (22, 28), (22, 27), (23, 27), (24, 27), (25, 27), (26, 27), (27, 27)]"
ORD_51,"[(6, 0), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (18, 1), (19, 1), (19, 0)]"
ORD_52,"[(22, 31), (22, 30), (22, 29), (22, 28), (22, 27), (22, 26), (21, 26), (21, 25), (20, 25), (19, 25), (18, 25), (18, 24), (17, 24), (17, 23), (17, 22), (17, 21), (17, 20), (17, 19), (17, 18), (17, 17), (17, 16), (18, 16), (18, 15), (18, 14), (18, 13), (18, 12), (17, 12), (17, 11), (17, 10), (17, 9), (17, 8), (18, 8), (18, 7), (17, 7), (17, 6), (17, 5), (17, 4), (16, 4), (15, 4), (14, 4), (13, 4), (13, 3), (12, 3), (11, 3), (11, 2), (10, 2), (9, 2), (8, 2), (8, 3), (7, 3)]"
ORD_53,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0)]"
ORD_54,"[(6, 0), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (19, 8), (20, 8), (21, 8), (22, 8), (22, 9), (23, 9), (24, 9), (25, 9), (26, 9), (27, 9), (28, 9), (29, 9), (29, 8), (30, 8), (31, 8), (31, 7), (32, 7), (33, 7), (34, 7), (35, 7), (36, 7), (36, 8), (37, 8), (37, 7), (38, 7), (39, 7), (40, 7), (40, 8), (41, 8), (42, 8), (43, 8), (44, 8), (44, 9), (44, 10), (44, 11), (45, 11), (45, 12)]"
ORD_55,"[(10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (17, 0), (18, 0), (19, 0), (20, 0), (21, 0), (22, 0), (23, 0)]"
ORD_56,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (8, 3), (9, 3), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (11, 7), (12, 7), (12, 8), (12, 9), (12, 10), (13, 10), (14, 10), (14, 11), (14, 12), (15, 12), (15, 13)]"
ORD_57,"[(42, 19), (42, 20), (41, 20), (40, 20), (40, 21), (40, 22), (39, 22), (38, 22), (37, 22), (36, 22), (36, 23), (36, 24), (36, 25), (36, 26), (35, 26), (34, 26), (34, 27), (34, 28), (34, 29), (33, 29), (32, 29), (31, 29), (30, 29), (29, 29), (28, 29), (27, 29), (27, 30), (26, 30), (25, 30), (25, 29), (24, 29), (23, 29), (22, 29), (22, 30), (21, 30), (20, 30), (20, 31), (19, 31), (18, 31), (18, 32), (18, 33)]"
ORD_58,"[(41, 0), (41, 1), (41, 2), (40, 2), (39, 2), (38, 2), (38, 3), (38, 4), (38, 5), (38, 6), (37, 6), (36, 6), (35, 6), (35, 7), (34, 7), (33, 7), (32, 7), (31, 7), (31, 8), (30, 8), (29, 8), (29, 9), (28, 9), (28, 10), (28, 11), (28, 12), (28, 13), (27, 13), (27, 14), (27, 15), (26, 15), (26, 16), (25, 16), (24, 16), (24, 17), (23, 17), (23, 18), (23, 19), (23, 20), (22, 20), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 23), (15, 23), (14, 23), (13, 23), (12, 23), (11, 23), (10, 23), (10, 24), (9, 24), (9, 25), (8, 25), (7, 25), (7, 26), (6, 26), (6, 27), (6, 28), (5, 28), (5, 29), (5, 30), (5, 31), (5, 32), (4, 32), (4, 33), (4, 34)]"
ORD_59,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]"
ORD_60,"[(15, 17), (16, 17), (17, 17), (17, 18), (17, 19), (17, 20), (17, 21), (18, 21), (19, 21), (20, 21), (21, 21), (22, 21), (23, 21), (23, 22), (24, 22), (25, 22), (26, 22), (26, 23), (27, 23), (28, 23), (29, 23), (30, 23), (30, 24), (31, 24), (31, 25), (32, 25)]"
ORD_61,"[(30, 7), (29, 7), (28, 7), (27, 7), (26, 7), (25, 7), (24, 7), (23, 7), (22, 7), (21, 7), (20, 7), (19, 7), (18, 7), (17, 7), (17, 6), (17, 5), (17, 4), (16, 4), (15, 4), (14, 4), (13, 4), (13, 3), (12, 3), (11, 3), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (6, 1), (5, 1), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0), (0, 0)]"
ORD_62,"[(0, 0)]"
ORD_63,"[(0, 26), (0, 25), (0, 24), (0, 23)]"
ORD_64,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (18, 1), (19, 1), (19, 0), (20, 0), (21, 0), (22, 0), (23, 0), (24, 0), (25, 0), (26, 0), (27, 0), (28, 0), (29, 0), (30, 0), (31, 0)]"
ORD_65,"[(8, 26), (8, 25), (9, 25), (9, 24), (10, 24), (10, 23), (11, 23), (12, 23), (13, 23), (14, 23), (15, 23), (15, 22), (15, 21), (16, 21), (17, 21), (17, 20), (17, 19)]"
ORD_66,"[(0, 0), (0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (4, 12), (5, 12), (6, 12), (7, 12), (7, 13), (7, 14), (7, 15), (7, 16), (8, 16), (9, 16), (10, 16), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (12, 21), (12, 22), (12, 23), (13, 23), (14, 23), (15, 23), (15, 24), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28)]"
ORD_67,"[(0, 33), (0, 32), (0, 31), (0, 30), (0, 29), (0, 28), (0, 27), (0, 26)]"
ORD_68,"[(11, 31), (11, 30), (12, 30), (12, 29), (12, 28), (12, 27), (12, 26), (13, 26), (14, 26), (14, 25), (15, 25), (16, 25), (16, 24), (17, 24), (18, 24), (19, 24), (20, 24), (20, 23)]"
ORD_69,"[(19, 0), (19, 1), (18, 1), (18, 2), (18, 3), (17, 3), (17, 4), (17, 5), (17, 6), (17, 7), (16, 7), (15, 7), (14, 7), (13, 7), (12, 7), (12, 8), (12, 9), (11, 9), (10, 9), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (6, 12), (5, 12), (4, 12), (4, 13), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (3, 18), (2, 18), (2, 19), (2, 20), (2, 21), (1, 21), (1, 22), (0, 22)]"
