Order_ID,Restaurant_ID,Customer_ID,Order_Time,Food_Prep_Time,Packaging_Time,Order_Value
ORD_30,REST_27,CUST_260,2025-03-01 03:13:25,19,8,342
ORD_31,REST_30,CUST_396,2025-03-01 17:34:33,19,5,326
ORD_32,REST_37,CUST_54,2025-03-01 04:48:22,18,7,430
ORD_33,REST_22,CUST_240,2025-03-01 16:32:34,9,10,306
ORD_34,REST_38,CUST_107,2025-03-01 16:07:08,16,5,326
ORD_35,REST_32,CUST_93,2025-03-01 07:27:07,7,5,103
ORD_36,REST_29,CUST_413,2025-03-01 14:14:06,19,10,414
ORD_37,REST_18,CUST_5,2025-03-01 04:47:02,12,2,472
ORD_38,REST_34,CUST_144,2025-03-01 01:45:59,16,7,259
ORD_39,REST_18,CUST_318,2025-03-01 02:04:43,9,5,166
ORD_40,REST_42,CUST_204,2025-03-01 16:57:12,12,9,128
ORD_41,REST_5,CUST_424,2025-03-01 22:47:15,17,3,151
ORD_42,REST_21,CUST_26,2025-03-01 15:59:00,12,8,347
ORD_43,REST_37,CUST_165,2025-03-01 18:50:58,8,8,423
ORD_44,REST_48,CUST_393,2025-03-01 06:52:28,7,9,339
ORD_45,REST_35,CUST_444,2025-03-01 04:27:50,18,10,294
ORD_46,REST_30,CUST_355,2025-03-01 13:05:00,13,2,242
ORD_47,REST_13,CUST_44,2025-03-01 19:15:43,11,4,339
ORD_48,REST_24,CUST_441,2025-03-01 00:05:49,20,9,102
ORD_49,REST_23,CUST_307,2025-03-01 19:01:33,13,9,423
ORD_50,REST_13,CUST_20,2025-03-01 15:55:54,12,3,244
ORD_51,REST_32,CUST_288,2025-03-01 12:46:07,16,4,328
ORD_52,REST_19,CUST_66,2025-03-01 04:28:37,11,9,138
ORD_53,REST_32,CUST_409,2025-03-01 03:27:19,18,6,455
ORD_54,REST_11,CUST_347,2025-03-01 05:51:03,9,5,410
ORD_55,REST_10,CUST_71,2025-03-01 07:09:01,8,2,239
ORD_56,REST_14,CUST_191,2025-03-01 03:26:11,17,3,187
ORD_57,REST_12,CUST_337,2025-03-01 18:03:31,7,4,147
ORD_58,REST_19,CUST_243,2025-03-01 11:20:42,11,7,493
ORD_59,REST_32,CUST_194,2025-03-01 19:10:28,20,8,196
ORD_60,REST_18,CUST_365,2025-03-01 09:23:47,7,5,159
ORD_61,REST_20,CUST_51,2025-03-01 04:41:40,12,9,431
ORD_62,REST_15,CUST_231,2025-03-01 07:11:20,13,2,225
ORD_63,REST_40,CUST_389,2025-03-01 06:54:50,10,2,223
ORD_64,REST_45,CUST_324,2025-03-01 18:24:34,5,9,274
ORD_65,REST_36,CUST_222,2025-03-01 05:07:27,6,4,192
ORD_66,REST_27,CUST_303,2025-03-01 23:39:53,17,8,463
ORD_67,REST_18,CUST_81,2025-03-01 17:44:00,12,6,249
ORD_68,REST_8,CUST_6,2025-03-01 05:32:23,14,8,459
ORD_69,REST_13,CUST_37,2025-03-01 16:25:34,13,6,278
ORD_70,REST_6,CUST_178,2025-03-01 08:07:23,17,4,146
ORD_71,REST_31,CUST_355,2025-03-01 07:05:00,15,8,346
ORD_72,REST_28,CUST_486,2025-03-01 17:33:48,9,10,401
ORD_73,REST_12,CUST_235,2025-03-01 22:10:42,10,5,487
ORD_74,REST_32,CUST_401,2025-03-01 12:32:33,14,3,121
ORD_75,REST_10,CUST_64,2025-03-01 14:57:40,11,5,435
ORD_76,REST_46,CUST_441,2025-03-01 18:29:28,20,10,163
ORD_77,REST_7,CUST_211,2025-03-01 04:03:52,15,4,357
ORD_78,REST_47,CUST_139,2025-03-01 01:05:56,16,10,205
ORD_79,REST_11,CUST_392,2025-03-01 19:55:05,17,2,285
ORD_80,REST_33,CUST_346,2025-03-01 15:55:04,10,6,431
ORD_81,REST_21,CUST_374,2025-03-01 07:31:03,6,9,300
ORD_82,REST_32,CUST_282,2025-03-01 19:33:03,12,9,366
ORD_83,REST_13,CUST_84,2025-03-01 00:12:12,7,7,203
ORD_84,REST_6,CUST_337,2025-03-01 23:52:49,13,7,396
ORD_85,REST_45,CUST_160,2025-03-01 09:19:43,20,4,286
ORD_86,REST_1,CUST_195,2025-03-01 06:54:52,12,9,212
ORD_87,REST_17,CUST_415,2025-03-01 01:31:24,6,9,148
ORD_88,REST_21,CUST_452,2025-03-01 09:56:02,5,9,475
ORD_89,REST_20,CUST_457,2025-03-01 03:07:08,17,6,135
ORD_90,REST_8,CUST_225,2025-03-01 01:17:12,13,6,173
ORD_91,REST_19,CUST_435,2025-03-01 16:34:03,7,10,179
ORD_92,REST_36,CUST_8,2025-03-01 21:57:40,5,4,142
ORD_93,REST_13,CUST_285,2025-03-01 09:35:44,9,5,431
ORD_94,REST_32,CUST_268,2025-03-01 19:27:35,12,6,141
ORD_95,REST_30,CUST_342,2025-03-01 05:43:17,8,9,452
ORD_96,REST_12,CUST_345,2025-03-01 15:01:00,10,9,110
ORD_97,REST_16,CUST_119,2025-03-01 20:51:42,5,9,405
ORD_98,REST_48,CUST_348,2025-03-01 10:17:31,15,3,278
ORD_99,REST_27,CUST_145,2025-03-01 18:27:53,10,2,229
ORD_100,REST_5,CUST_224,2025-03-01 22:43:55,14,5,233
ORD_101,REST_15,CUST_483,2025-03-01 13:05:48,5,3,165
ORD_102,REST_40,CUST_187,2025-03-01 15:06:08,16,8,163
ORD_103,REST_47,CUST_223,2025-03-01 07:43:35,19,9,290
ORD_104,REST_40,CUST_208,2025-03-01 23:15:40,17,2,266
ORD_105,REST_26,CUST_116,2025-03-01 07:13:14,8,8,343
ORD_106,REST_7,CUST_387,2025-03-01 22:48:04,13,9,192
ORD_107,REST_15,CUST_45,2025-03-01 14:18:07,10,10,340
ORD_108,REST_26,CUST_308,2025-03-01 11:19:35,8,7,187
ORD_109,REST_12,CUST_13,2025-03-01 22:30:02,5,7,289
ORD_110,REST_7,CUST_147,2025-03-01 23:22:47,19,10,290
ORD_111,REST_38,CUST_152,2025-03-01 14:03:24,16,4,228
ORD_112,REST_40,CUST_81,2025-03-01 03:23:03,15,5,151
ORD_113,REST_9,CUST_419,2025-03-01 15:18:05,9,2,402
ORD_114,REST_44,CUST_247,2025-03-01 10:02:28,19,7,375
ORD_115,REST_46,CUST_67,2025-03-01 08:53:47,7,2,202
ORD_116,REST_31,CUST_334,2025-03-01 17:40:19,9,10,424
ORD_117,REST_25,CUST_297,2025-03-01 03:48:20,8,4,157
ORD_118,REST_47,CUST_381,2025-03-01 02:09:58,11,4,184
ORD_119,REST_37,CUST_179,2025-03-01 13:57:29,14,4,317
ORD_120,REST_17,CUST_18,2025-03-01 04:43:56,10,6,259
ORD_121,REST_18,CUST_382,2025-03-01 08:23:34,5,5,254
ORD_122,REST_30,CUST_418,2025-03-01 07:43:29,12,10,451
ORD_123,REST_42,CUST_175,2025-03-01 09:29:15,5,3,198
ORD_124,REST_8,CUST_140,2025-03-01 08:50:09,20,3,282
ORD_125,REST_18,CUST_10,2025-03-01 15:34:35,6,3,367
ORD_126,REST_16,CUST_485,2025-03-01 03:27:02,13,7,207
ORD_127,REST_36,CUST_143,2025-03-01 16:41:53,9,4,347
ORD_128,REST_17,CUST_71,2025-03-01 03:21:08,14,9,431
ORD_129,REST_32,CUST_219,2025-03-01 23:32:59,6,10,340
ORD_130,REST_11,CUST_274,2025-03-01 14:40:15,6,8,240
ORD_131,REST_34,CUST_386,2025-03-01 05:59:11,8,5,166
ORD_132,REST_41,CUST_93,2025-03-01 02:06:30,20,3,312
ORD_133,REST_14,CUST_436,2025-03-01 06:47:16,11,2,208
ORD_134,REST_8,CUST_250,2025-03-01 07:54:39,20,5,161
ORD_135,REST_22,CUST_102,2025-03-01 03:33:02,13,9,262
ORD_136,REST_23,CUST_462,2025-03-01 07:43:06,8,5,208
ORD_137,REST_42,CUST_419,2025-03-01 02:30:38,11,4,164
ORD_138,REST_7,CUST_456,2025-03-01 00:56:13,16,7,462
ORD_139,REST_30,CUST_16,2025-03-01 05:22:13,17,5,327
ORD_140,REST_44,CUST_402,2025-03-01 04:17:39,17,6,110
ORD_141,REST_14,CUST_386,2025-03-01 23:33:45,6,8,261
ORD_142,REST_4,CUST_350,2025-03-01 12:33:19,13,8,197
ORD_143,REST_42,CUST_224,2025-03-01 07:44:40,5,6,196
ORD_144,REST_21,CUST_459,2025-03-01 21:35:48,20,8,243
ORD_145,REST_42,CUST_343,2025-03-01 19:14:45,8,7,354
ORD_146,REST_34,CUST_415,2025-03-01 13:20:58,14,6,297
ORD_147,REST_48,CUST_395,2025-03-01 04:30:52,16,8,136
ORD_148,REST_30,CUST_445,2025-03-01 11:36:16,16,7,422
ORD_149,REST_17,CUST_430,2025-03-01 13:40:52,19,10,477
ORD_150,REST_32,CUST_147,2025-03-01 22:17:46,13,3,166
ORD_151,REST_9,CUST_302,2025-03-01 19:06:43,12,9,126
ORD_152,REST_26,CUST_496,2025-03-01 07:02:56,19,7,178
ORD_153,REST_5,CUST_373,2025-03-01 10:31:38,20,9,186
ORD_154,REST_16,CUST_365,2025-03-01 02:34:12,15,4,201
ORD_155,REST_2,CUST_389,2025-03-01 05:30:29,7,7,219
ORD_156,REST_9,CUST_103,2025-03-01 00:06:34,9,10,145
ORD_157,REST_4,CUST_5,2025-03-01 10:53:32,15,10,235
ORD_158,REST_5,CUST_7,2025-03-01 07:01:44,10,7,249
ORD_159,REST_30,CUST_450,2025-03-01 19:20:02,17,9,335
ORD_160,REST_44,CUST_452,2025-03-01 05:57:05,5,3,145
ORD_161,REST_42,CUST_296,2025-03-01 03:54:34,9,7,381
ORD_162,REST_22,CUST_431,2025-03-01 01:04:14,18,5,412
ORD_163,REST_8,CUST_145,2025-03-01 03:35:47,6,6,155
ORD_164,REST_26,CUST_166,2025-03-01 00:48:01,9,6,280
ORD_165,REST_7,CUST_114,2025-03-01 16:56:47,12,6,299
ORD_166,REST_15,CUST_264,2025-03-01 15:52:06,15,6,457
ORD_167,REST_28,CUST_458,2025-03-01 22:00:25,11,10,316
ORD_168,REST_24,CUST_288,2025-03-01 10:59:41,15,4,127
ORD_169,REST_46,CUST_415,2025-03-01 10:13:14,8,7,436
ORD_170,REST_42,CUST_89,2025-03-01 05:52:41,14,6,428
ORD_171,REST_33,CUST_438,2025-03-01 19:38:22,17,7,472
ORD_172,REST_15,CUST_487,2025-03-01 13:18:23,13,6,290
ORD_173,REST_26,CUST_72,2025-03-01 01:54:10,7,3,408
ORD_174,REST_48,CUST_133,2025-03-01 13:55:22,20,2,224
ORD_175,REST_47,CUST_234,2025-03-01 20:26:20,19,8,121
ORD_176,REST_36,CUST_310,2025-03-01 05:00:12,6,6,122
ORD_177,REST_15,CUST_437,2025-03-01 06:29:16,15,4,294
ORD_178,REST_38,CUST_333,2025-03-01 16:35:59,19,8,250
ORD_179,REST_27,CUST_154,2025-03-01 15:47:26,18,5,431
ORD_180,REST_46,CUST_228,2025-03-01 00:09:20,20,3,433
ORD_181,REST_24,CUST_385,2025-03-01 18:31:14,9,9,426
ORD_182,REST_48,CUST_344,2025-03-01 16:00:19,9,5,321
ORD_183,REST_40,CUST_100,2025-03-01 08:02:14,8,3,478
ORD_184,REST_10,CUST_385,2025-03-01 23:23:51,16,8,398
ORD_185,REST_2,CUST_476,2025-03-01 13:41:17,6,5,252
ORD_186,REST_41,CUST_279,2025-03-01 23:11:02,15,6,480
ORD_187,REST_38,CUST_252,2025-03-01 04:41:13,10,8,191
ORD_188,REST_36,CUST_241,2025-03-01 01:20:59,14,6,105
ORD_189,REST_19,CUST_34,2025-03-01 08:11:31,14,3,153
ORD_190,REST_1,CUST_32,2025-03-01 17:41:29,18,2,294
ORD_191,REST_12,CUST_279,2025-03-01 04:52:05,11,6,403
ORD_192,REST_36,CUST_37,2025-03-01 01:47:22,13,5,171
ORD_193,REST_14,CUST_80,2025-03-01 11:38:59,5,9,193
ORD_194,REST_19,CUST_340,2025-03-01 05:41:07,8,2,202
ORD_195,REST_17,CUST_173,2025-03-01 17:31:21,7,6,130
ORD_196,REST_23,CUST_125,2025-03-01 20:38:35,10,5,175
ORD_197,REST_5,CUST_63,2025-03-01 09:13:06,11,4,309
ORD_198,REST_31,CUST_341,2025-03-01 16:03:04,11,10,304
ORD_199,REST_33,CUST_302,2025-03-01 17:07:40,13,6,265
ORD_200,REST_41,CUST_29,2025-03-01 18:47:22,20,3,307
ORD_201,REST_21,CUST_127,2025-03-01 06:57:30,5,2,340
ORD_202,REST_29,CUST_122,2025-03-01 18:37:22,18,8,136
ORD_203,REST_17,CUST_250,2025-03-01 02:17:22,18,4,151
ORD_204,REST_6,CUST_99,2025-03-01 07:56:48,18,5,163
ORD_205,REST_3,CUST_195,2025-03-01 05:27:39,5,4,427
ORD_206,REST_2,CUST_134,2025-03-01 02:24:47,7,9,445
ORD_207,REST_6,CUST_250,2025-03-01 02:34:19,12,9,423
ORD_208,REST_44,CUST_250,2025-03-01 17:26:16,17,4,307
ORD_209,REST_7,CUST_259,2025-03-01 21:31:13,9,3,443
ORD_210,REST_43,CUST_347,2025-03-01 08:22:45,18,10,212
ORD_211,REST_17,CUST_67,2025-03-01 17:40:36,17,9,107
ORD_212,REST_21,CUST_295,2025-03-01 13:32:54,18,7,168
ORD_213,REST_6,CUST_266,2025-03-01 03:11:49,18,4,227
ORD_214,REST_39,CUST_52,2025-03-01 20:11:27,15,2,262
ORD_215,REST_36,CUST_377,2025-03-01 14:10:37,20,7,288
ORD_216,REST_46,CUST_18,2025-03-01 20:28:52,6,9,452
ORD_217,REST_22,CUST_223,2025-03-01 09:55:55,9,10,213
ORD_218,REST_31,CUST_174,2025-03-01 21:39:35,9,9,374
ORD_219,REST_36,CUST_76,2025-03-01 16:35:53,10,10,110
ORD_220,REST_37,CUST_427,2025-03-01 09:52:09,11,10,171
ORD_221,REST_37,CUST_433,2025-03-01 21:21:36,10,8,480
ORD_222,REST_6,CUST_102,2025-03-01 14:16:23,13,10,458
ORD_223,REST_9,CUST_290,2025-03-01 15:25:59,19,6,219
ORD_224,REST_13,CUST_211,2025-03-01 01:43:23,19,3,135
ORD_225,REST_38,CUST_445,2025-03-01 02:10:32,18,3,428
ORD_226,REST_44,CUST_301,2025-03-01 05:52:31,5,9,432
ORD_227,REST_37,CUST_421,2025-03-01 05:23:02,9,7,485
ORD_228,REST_35,CUST_258,2025-03-01 14:59:10,5,4,115
ORD_229,REST_26,CUST_419,2025-03-01 07:38:23,7,8,217
ORD_230,REST_39,CUST_170,2025-03-01 08:56:43,14,7,415
ORD_231,REST_30,CUST_50,2025-03-01 09:43:39,6,3,343
ORD_232,REST_28,CUST_372,2025-03-01 12:52:24,19,2,137
ORD_233,REST_36,CUST_279,2025-03-01 03:24:20,8,4,446
ORD_234,REST_31,CUST_96,2025-03-01 01:56:29,5,9,373
ORD_235,REST_22,CUST_161,2025-03-01 23:05:19,9,10,162
ORD_236,REST_12,CUST_60,2025-03-01 15:57:20,14,5,455
ORD_237,REST_42,CUST_413,2025-03-01 21:38:15,12,2,273
ORD_238,REST_40,CUST_207,2025-03-01 08:07:32,8,9,201
ORD_239,REST_22,CUST_319,2025-03-01 06:35:54,7,8,291
ORD_240,REST_32,CUST_406,2025-03-01 09:51:11,15,9,473
ORD_241,REST_1,CUST_447,2025-03-01 21:38:21,14,3,409
ORD_242,REST_22,CUST_161,2025-03-01 04:49:54,14,6,447
ORD_243,REST_43,CUST_96,2025-03-01 08:28:17,11,8,436
ORD_244,REST_43,CUST_91,2025-03-01 14:09:57,16,4,285
ORD_245,REST_14,CUST_280,2025-03-01 16:56:42,16,8,185
ORD_246,REST_40,CUST_343,2025-03-01 17:39:18,15,4,391
ORD_247,REST_45,CUST_48,2025-03-01 00:06:54,16,10,377
ORD_248,REST_35,CUST_123,2025-03-01 04:37:19,12,6,456
ORD_249,REST_6,CUST_287,2025-03-01 01:21:19,17,10,132
ORD_250,REST_37,CUST_210,2025-03-01 21:58:27,14,8,332
ORD_251,REST_49,CUST_8,2025-03-01 14:01:34,6,7,346
ORD_252,REST_24,CUST_62,2025-03-01 07:41:35,17,4,181
ORD_253,REST_27,CUST_150,2025-03-01 06:21:52,8,9,396
ORD_254,REST_24,CUST_46,2025-03-01 06:20:02,10,8,419
ORD_255,REST_34,CUST_287,2025-03-01 13:50:17,8,4,158
ORD_256,REST_16,CUST_103,2025-03-01 14:38:30,19,6,156
ORD_257,REST_47,CUST_100,2025-03-01 22:37:16,16,7,205
ORD_258,REST_38,CUST_99,2025-03-01 06:15:03,9,7,352
ORD_259,REST_30,CUST_47,2025-03-01 12:34:57,5,5,115
ORD_260,REST_37,CUST_330,2025-03-01 13:15:42,18,5,450
ORD_261,REST_25,CUST_209,2025-03-01 07:42:04,6,6,443
ORD_262,REST_2,CUST_84,2025-03-01 07:54:33,9,2,224
ORD_263,REST_31,CUST_470,2025-03-01 10:19:31,5,7,480
ORD_264,REST_24,CUST_159,2025-03-01 16:05:18,7,8,210
ORD_265,REST_43,CUST_283,2025-03-01 01:39:26,9,4,140
ORD_266,REST_21,CUST_287,2025-03-01 13:40:56,16,5,198
ORD_267,REST_25,CUST_93,2025-03-01 13:36:55,9,4,234
ORD_268,REST_50,CUST_270,2025-03-01 14:36:15,11,9,379
ORD_269,REST_2,CUST_80,2025-03-01 13:02:10,13,3,190
ORD_270,REST_14,CUST_83,2025-03-01 16:51:04,16,9,488
ORD_271,REST_18,CUST_99,2025-03-01 00:08:07,12,4,450
ORD_272,REST_22,CUST_438,2025-03-01 06:21:31,5,6,422
ORD_273,REST_3,CUST_344,2025-03-01 14:41:04,15,6,120
ORD_274,REST_49,CUST_317,2025-03-01 11:59:20,15,6,491
ORD_275,REST_1,CUST_236,2025-03-01 06:59:20,5,10,356
ORD_276,REST_31,CUST_14,2025-03-01 17:25:05,14,5,476
ORD_277,REST_2,CUST_396,2025-03-01 15:33:38,20,3,149
ORD_278,REST_38,CUST_406,2025-03-01 08:57:22,17,4,356
ORD_279,REST_17,CUST_179,2025-03-01 00:31:42,12,10,287
ORD_280,REST_49,CUST_336,2025-03-01 10:27:14,20,6,301
ORD_281,REST_27,CUST_1,2025-03-01 03:13:03,10,10,259
ORD_282,REST_34,CUST_297,2025-03-01 08:26:39,8,6,140
ORD_283,REST_12,CUST_292,2025-03-01 17:27:31,11,10,358
ORD_284,REST_42,CUST_434,2025-03-01 19:22:19,14,2,309
ORD_285,REST_5,CUST_395,2025-03-01 23:15:44,9,9,383
ORD_286,REST_45,CUST_194,2025-03-01 10:08:58,8,2,480
ORD_287,REST_35,CUST_292,2025-03-01 14:36:48,11,7,177
ORD_288,REST_20,CUST_59,2025-03-01 02:10:08,15,9,106
ORD_289,REST_2,CUST_276,2025-03-01 01:28:58,5,5,180
ORD_290,REST_25,CUST_219,2025-03-01 02:16:00,11,8,460
ORD_291,REST_9,CUST_461,2025-03-01 06:07:42,16,10,456
ORD_292,REST_36,CUST_411,2025-03-01 22:10:06,8,8,275
ORD_293,REST_2,CUST_271,2025-03-01 23:10:22,7,5,157
ORD_294,REST_36,CUST_100,2025-03-01 03:52:11,15,7,498
ORD_295,REST_14,CUST_165,2025-03-01 21:15:42,15,8,496
ORD_296,REST_32,CUST_206,2025-03-01 21:39:42,14,3,115
ORD_297,REST_4,CUST_276,2025-03-01 16:42:56,14,9,143
ORD_298,REST_40,CUST_352,2025-03-01 10:16:23,9,4,481
ORD_299,REST_6,CUST_87,2025-03-01 15:35:03,20,10,155
ORD_300,REST_35,CUST_121,2025-03-01 00:32:23,7,8,434
ORD_301,REST_4,CUST_85,2025-03-01 03:59:59,5,4,332
ORD_302,REST_41,CUST_50,2025-03-01 21:12:07,6,3,207
ORD_303,REST_34,CUST_25,2025-03-01 16:33:59,16,3,337
ORD_304,REST_48,CUST_87,2025-03-01 03:00:25,12,10,163
ORD_305,REST_35,CUST_202,2025-03-01 21:57:06,20,8,474
ORD_306,REST_9,CUST_482,2025-03-01 12:13:26,11,3,110
ORD_307,REST_45,CUST_307,2025-03-01 03:09:53,14,3,204
ORD_308,REST_41,CUST_167,2025-03-01 23:04:55,14,5,241
ORD_309,REST_2,CUST_410,2025-03-01 19:05:34,12,5,468
ORD_310,REST_18,CUST_333,2025-03-01 20:19:52,13,4,274
ORD_311,REST_27,CUST_177,2025-03-01 17:24:46,17,2,170
ORD_312,REST_41,CUST_429,2025-03-01 09:02:09,8,5,203
ORD_313,REST_50,CUST_43,2025-03-01 21:08:45,18,2,158
ORD_314,REST_13,CUST_373,2025-03-01 14:20:17,11,4,190
ORD_315,REST_50,CUST_320,2025-03-01 07:13:06,7,7,194
ORD_316,REST_37,CUST_341,2025-03-01 02:27:55,7,9,449
ORD_317,REST_38,CUST_443,2025-03-01 11:38:41,17,8,383
ORD_318,REST_11,CUST_258,2025-03-01 19:38:22,6,6,196
ORD_319,REST_43,CUST_336,2025-03-01 12:27:51,8,3,249
ORD_320,REST_1,CUST_416,2025-03-01 21:27:09,12,2,278
ORD_321,REST_39,CUST_490,2025-03-01 03:21:54,13,6,254
ORD_322,REST_27,CUST_387,2025-03-01 04:58:26,7,10,336
ORD_323,REST_4,CUST_274,2025-03-01 18:13:18,8,9,448
ORD_324,REST_5,CUST_179,2025-03-01 08:55:34,10,3,428
ORD_325,REST_38,CUST_379,2025-03-01 23:56:02,20,10,241
ORD_326,REST_34,CUST_145,2025-03-01 06:15:02,8,5,129
ORD_327,REST_22,CUST_177,2025-03-01 19:53:58,12,7,274
ORD_328,REST_6,CUST_105,2025-03-01 12:01:42,8,10,255
ORD_329,REST_36,CUST_443,2025-03-01 04:35:17,13,8,385
ORD_330,REST_32,CUST_444,2025-03-01 05:00:19,7,7,439
ORD_331,REST_22,CUST_90,2025-03-01 09:42:47,16,3,407
ORD_332,REST_34,CUST_453,2025-03-01 11:38:13,5,10,490
ORD_333,REST_15,CUST_302,2025-03-01 15:32:04,20,3,120
ORD_334,REST_20,CUST_328,2025-03-01 23:19:01,10,10,307
ORD_335,REST_36,CUST_138,2025-03-01 12:18:38,19,9,387
ORD_336,REST_13,CUST_418,2025-03-01 14:42:31,15,7,231
ORD_337,REST_46,CUST_179,2025-03-01 15:47:22,18,10,236
ORD_338,REST_18,CUST_417,2025-03-01 00:50:59,10,6,495
ORD_339,REST_16,CUST_434,2025-03-01 17:04:16,14,10,323
ORD_340,REST_9,CUST_318,2025-03-01 12:12:13,9,4,278
ORD_341,REST_26,CUST_99,2025-03-01 11:09:10,14,3,148
ORD_342,REST_26,CUST_448,2025-03-01 15:45:54,12,9,167
ORD_343,REST_17,CUST_73,2025-03-01 07:45:25,16,9,133
ORD_344,REST_42,CUST_23,2025-03-01 08:51:40,18,10,222
ORD_345,REST_40,CUST_214,2025-03-01 19:39:48,19,7,215
ORD_346,REST_20,CUST_106,2025-03-01 21:11:18,9,2,311
ORD_347,REST_46,CUST_111,2025-03-01 22:03:05,6,10,289
ORD_348,REST_38,CUST_498,2025-03-01 06:58:11,8,2,313
ORD_349,REST_5,CUST_7,2025-03-01 09:46:31,7,10,176
ORD_350,REST_3,CUST_159,2025-03-01 06:18:04,5,3,317
ORD_351,REST_45,CUST_214,2025-03-01 16:18:36,17,9,122
ORD_352,REST_24,CUST_378,2025-03-01 07:41:55,14,2,230
ORD_353,REST_43,CUST_131,2025-03-01 11:07:31,20,9,277
ORD_354,REST_49,CUST_107,2025-03-01 15:24:23,19,2,365
ORD_355,REST_5,CUST_239,2025-03-01 17:32:42,5,4,467
ORD_356,REST_13,CUST_267,2025-03-01 19:00:12,16,4,209
ORD_357,REST_15,CUST_467,2025-03-01 13:03:27,8,6,347
ORD_358,REST_2,CUST_268,2025-03-01 15:56:02,13,9,209
ORD_359,REST_1,CUST_281,2025-03-01 19:54:10,20,6,448
ORD_360,REST_32,CUST_29,2025-03-01 03:57:05,20,6,420
ORD_361,REST_2,CUST_496,2025-03-01 21:53:08,10,10,213
ORD_362,REST_49,CUST_29,2025-03-01 20:24:54,7,2,393
ORD_363,REST_33,CUST_342,2025-03-01 18:06:55,12,4,134
ORD_364,REST_9,CUST_140,2025-03-01 15:10:55,18,6,428
ORD_365,REST_50,CUST_388,2025-03-01 07:55:36,14,3,370
ORD_366,REST_32,CUST_284,2025-03-01 06:34:44,20,5,451
ORD_367,REST_29,CUST_114,2025-03-01 17:19:53,18,8,362
ORD_368,REST_26,CUST_114,2025-03-01 09:32:45,5,7,437
ORD_369,REST_34,CUST_348,2025-03-01 19:44:04,8,4,197
ORD_370,REST_17,CUST_299,2025-03-01 22:37:31,8,8,277
ORD_371,REST_16,CUST_178,2025-03-01 16:00:29,19,10,167
ORD_372,REST_14,CUST_482,2025-03-01 17:43:29,17,2,372
ORD_373,REST_26,CUST_155,2025-03-01 16:34:17,14,5,295
ORD_374,REST_23,CUST_135,2025-03-01 00:08:55,15,2,189
ORD_375,REST_7,CUST_95,2025-03-01 20:13:12,18,6,335
ORD_376,REST_42,CUST_367,2025-03-01 01:08:38,7,4,405
ORD_377,REST_21,CUST_443,2025-03-01 02:04:14,10,5,355
ORD_378,REST_29,CUST_408,2025-03-01 20:04:17,19,7,478
ORD_379,REST_30,CUST_457,2025-03-01 02:37:32,14,3,101
ORD_380,REST_30,CUST_218,2025-03-01 17:03:59,11,4,131
ORD_381,REST_30,CUST_443,2025-03-01 13:04:11,13,6,165
ORD_382,REST_16,CUST_228,2025-03-01 17:13:18,5,5,350
ORD_383,REST_47,CUST_205,2025-03-01 08:25:48,6,7,499
ORD_384,REST_13,CUST_317,2025-03-01 00:55:37,11,6,439
ORD_385,REST_31,CUST_86,2025-03-01 22:54:35,11,5,199
ORD_386,REST_9,CUST_403,2025-03-01 18:34:49,20,4,308
