Order_ID,Pickup_Location,Dropoff_Location,Distance,Delivery_Time_Window,Status
ORD_97,"(26.60424, 80.82419)","(26.73566, 80.59833)",5.54,2025-03-01 21:20:42,Pending
ORD_98,"(26.5519, 81.21539)","(27.0028, 80.85154)",9.44,2025-03-01 10:50:31,Pending
ORD_99,"(26.54591, 80.65041)","(27.15069, 80.91544)",3.89,2025-03-01 18:54:53,Pending
ORD_100,"(27.10523, 80.506)","(27.15964, 80.50246)",6.44,2025-03-01 23:17:55,Pending
ORD_101,"(26.88492, 80.93342)","(26.51214, 80.822)",5.6,2025-03-01 13:28:48,Pending
ORD_102,"(26.53125, 80.62142)","(26.86665, 80.53999)",7.21,2025-03-01 15:45:08,Pending
ORD_103,"(26.81976, 80.93148)","(26.74784, 81.03769)",7.08,2025-03-01 08:26:35,Pending
ORD_104,"(27.00387, 80.79993)","(26.51134, 80.69946)",9.38,2025-03-01 23:49:40,Pending
ORD_105,"(26.74629, 80.73671)","(27.08761, 81.15498)",4.29,2025-03-01 07:44:14,Pending
ORD_106,"(26.68886, 81.09305)","(26.78575, 80.61997)",8.06,2025-03-01 23:25:04,Pending
ORD_107,"(26.83306, 80.84211)","(27.03547, 80.61307)",2.9,2025-03-01 14:53:07,Pending
ORD_108,"(26.99067, 81.17698)","(26.99667, 81.10931)",3.65,2025-03-01 11:49:35,Pending
ORD_109,"(27.16198, 80.89612)","(26.82545, 80.72799)",4.83,2025-03-01 22:57:02,Pending
ORD_110,"(26.67672, 81.02285)","(26.84849, 81.01709)",2.63,2025-03-02 00:06:47,Pending
ORD_111,"(27.14444, 81.1045)","(26.97636, 80.66991)",8.8,2025-03-01 14:38:24,Pending
ORD_112,"(27.05076, 81.13609)","(26.89869, 80.97247)",4.99,2025-03-01 03:58:03,Pending
ORD_113,"(27.0542, 80.93567)","(26.59191, 80.64227)",8.45,2025-03-01 15:44:05,Pending
ORD_114,"(27.08086, 80.63984)","(26.62116, 81.06735)",4.86,2025-03-01 10:43:28,Pending
ORD_115,"(27.04102, 80.90531)","(26.93932, 81.18598)",6.14,2025-03-01 09:17:47,Pending
ORD_116,"(26.75836, 80.70458)","(26.61541, 81.02931)",8.68,2025-03-01 18:14:19,Pending
ORD_117,"(26.7984, 81.14112)","(26.64229, 80.51546)",3.72,2025-03-01 04:15:20,Pending
ORD_118,"(27.04006, 80.78223)","(26.70463, 80.59982)",8.39,2025-03-01 02:39:58,Pending
ORD_119,"(26.92788, 81.17305)","(27.15439, 80.75615)",8.43,2025-03-01 14:30:29,Pending
ORD_120,"(26.91125, 81.11151)","(26.78712, 80.68754)",5.6,2025-03-01 05:14:56,Pending
ORD_121,"(26.54374, 81.08199)","(26.60725, 80.7227)",4.2,2025-03-01 08:48:34,Pending
ORD_122,"(26.56864, 80.5514)","(26.7892, 80.64383)",5.49,2025-03-01 08:20:29,Pending
ORD_123,"(26.55119, 80.93869)","(27.10887, 80.88172)",9.19,2025-03-01 09:52:15,Pending
ORD_124,"(26.86474, 80.91733)","(26.69655, 80.88227)",3.88,2025-03-01 09:28:09,Pending
ORD_125,"(26.78349, 80.50961)","(26.68734, 80.62264)",7.33,2025-03-01 15:58:35,Pending
ORD_126,"(27.08357, 80.98522)","(27.03864, 80.95128)",9.73,2025-03-01 04:02:02,Pending
ORD_127,"(26.51848, 80.90898)","(26.97355, 80.81926)",6.75,2025-03-01 17:09:53,Pending
ORD_128,"(26.58761, 80.62152)","(26.60262, 80.94534)",2.06,2025-03-01 03:59:08,Pending
ORD_129,"(27.1326, 81.13765)","(26.98413, 80.69564)",2.65,2025-03-02 00:03:59,Pending
ORD_130,"(26.9474, 80.86948)","(27.04458, 80.89782)",7.8,2025-03-01 15:09:15,Pending
ORD_131,"(26.54469, 80.87368)","(26.72513, 80.97763)",7.76,2025-03-01 06:27:11,Pending
ORD_132,"(26.74563, 80.71181)","(27.07774, 80.66536)",7.37,2025-03-01 02:44:30,Pending
ORD_133,"(27.15494, 81.12964)","(27.10434, 80.56054)",3.02,2025-03-01 07:15:16,Pending
ORD_134,"(27.02592, 81.08651)","(26.53329, 80.74929)",1.27,2025-03-01 08:34:39,Pending
ORD_135,"(26.80927, 81.20111)","(26.78131, 81.1021)",4.95,2025-03-01 04:10:02,Pending
ORD_136,"(27.16098, 80.74766)","(26.7156, 81.04422)",4.8,2025-03-01 08:11:06,Pending
ORD_137,"(26.98869, 80.90738)","(26.56194, 80.57915)",9.67,2025-03-01 03:00:38,Pending
ORD_138,"(27.01169, 80.94569)","(26.69896, 81.10307)",5.09,2025-03-01 01:34:13,Pending
ORD_139,"(27.01645, 81.07267)","(26.5361, 80.82427)",6.58,2025-03-01 05:59:13,Pending
ORD_140,"(26.69798, 80.84517)","(26.60015, 80.90535)",5.76,2025-03-01 04:55:39,Pending
ORD_141,"(26.77478, 80.50619)","(26.69419, 80.64909)",6.11,2025-03-02 00:02:45,Pending
ORD_142,"(26.72047, 80.87172)","(26.94783, 80.55524)",2.01,2025-03-01 13:09:19,Pending
ORD_143,"(27.08424, 80.70829)","(26.90638, 80.73939)",1.07,2025-03-01 08:10:40,Pending
ORD_144,"(27.01096, 81.14977)","(26.64114, 80.67272)",5.65,2025-03-01 22:18:48,Pending
ORD_145,"(26.68688, 80.53748)","(27.04765, 80.61036)",8.1,2025-03-01 19:44:45,Pending
ORD_146,"(26.63499, 81.15883)","(26.80206, 80.81586)",5.27,2025-03-01 13:55:58,Pending
ORD_147,"(26.73001, 81.19031)","(26.82068, 81.07777)",3.08,2025-03-01 05:09:52,Pending
ORD_148,"(26.97835, 80.61639)","(27.10521, 81.11471)",1.71,2025-03-01 12:14:16,Pending
ORD_149,"(26.81436, 81.15155)","(26.51555, 81.0413)",1.86,2025-03-01 14:24:52,Pending
ORD_150,"(26.59216, 80.55783)","(27.102, 80.79787)",2.49,2025-03-01 22:48:46,Pending
ORD_151,"(27.04453, 81.08671)","(26.67658, 80.53553)",3.87,2025-03-01 19:42:43,Pending
ORD_152,"(26.66911, 80.56344)","(26.91058, 80.85069)",5.27,2025-03-01 07:43:56,Pending
ORD_153,"(26.55882, 81.0126)","(27.05725, 80.59896)",4.04,2025-03-01 11:15:38,Pending
ORD_154,"(27.07693, 80.63062)","(26.59436, 81.09682)",4.19,2025-03-01 03:08:12,Pending
ORD_155,"(26.76392, 81.10789)","(27.16725, 80.99232)",7.04,2025-03-01 05:59:29,Pending
ORD_156,"(27.12838, 81.0993)","(26.55687, 81.1399)",6.81,2025-03-01 00:40:34,Pending
ORD_157,"(27.12902, 80.6056)","(26.50388, 80.63395)",2.24,2025-03-01 11:33:32,Pending
ORD_158,"(27.01039, 80.86944)","(26.98069, 80.56238)",5.44,2025-03-01 07:33:44,Pending
ORD_159,"(26.62381, 80.52576)","(26.712, 80.5146)",9.72,2025-03-01 20:01:02,Pending
ORD_160,"(26.77329, 80.92178)","(26.54906, 81.04995)",9.62,2025-03-01 06:20:05,Pending
ORD_161,"(26.59349, 80.72828)","(26.9581, 80.9227)",6.24,2025-03-01 04:25:34,Pending
ORD_162,"(26.62093, 80.99494)","(26.62088, 81.05155)",3.29,2025-03-01 01:42:14,Pending
ORD_163,"(26.72064, 80.55081)","(27.13957, 80.81342)",2.9,2025-03-01 04:02:47,Pending
ORD_164,"(26.93062, 80.65332)","(26.78223, 80.86122)",9.88,2025-03-01 01:18:01,Pending
ORD_165,"(26.94888, 81.21565)","(26.5209, 81.10689)",4.61,2025-03-01 17:29:47,Pending
ORD_166,"(26.94838, 80.52615)","(26.67639, 81.0759)",9.28,2025-03-01 16:28:06,Pending
ORD_167,"(26.8722, 81.07628)","(26.79225, 80.5266)",6.37,2025-03-01 22:36:25,Pending
ORD_168,"(27.10893, 80.50931)","(26.99883, 80.87099)",8.32,2025-03-01 11:33:41,Pending
ORD_169,"(26.95665, 81.1644)","(26.52554, 81.11961)",9.77,2025-03-01 10:43:14,Pending
ORD_170,"(27.02833, 81.19087)","(26.7327, 80.93599)",4.05,2025-03-01 06:27:41,Pending
ORD_171,"(26.55872, 80.92251)","(26.86743, 80.69824)",8.68,2025-03-01 20:17:22,Pending
ORD_172,"(26.58779, 80.52733)","(26.65189, 80.87028)",2.54,2025-03-01 13:52:23,Pending
ORD_173,"(26.87522, 80.78347)","(26.76518, 81.09174)",6.67,2025-03-01 02:19:10,Pending
ORD_174,"(26.56648, 80.8267)","(26.77611, 80.72499)",5.83,2025-03-01 14:32:22,Pending
ORD_175,"(26.50545, 80.94449)","(26.85851, 80.63649)",3.46,2025-03-01 21:08:20,Pending
ORD_176,"(26.70741, 80.76105)","(27.10339, 80.88588)",8.79,2025-03-01 05:27:12,Pending
ORD_177,"(27.10091, 80.99154)","(26.62315, 80.58382)",3.88,2025-03-01 07:03:16,Pending
ORD_178,"(26.57512, 80.97749)","(26.97158, 80.6388)",5.45,2025-03-01 17:17:59,Pending
ORD_179,"(26.97824, 80.96373)","(26.62688, 81.02916)",2.01,2025-03-01 16:25:26,Pending
ORD_180,"(26.59402, 80.81204)","(26.87124, 80.57278)",6.06,2025-03-01 00:47:20,Pending
ORD_181,"(26.7772, 81.08589)","(26.8876, 80.50966)",1.68,2025-03-01 19:04:14,Pending
ORD_182,"(27.10804, 80.95896)","(27.16754, 80.50783)",2.68,2025-03-01 16:29:19,Pending
ORD_183,"(26.79953, 80.9248)","(26.97158, 81.19324)",4.37,2025-03-01 08:28:14,Pending
ORD_184,"(26.64904, 80.64967)","(26.98175, 81.00956)",3.06,2025-03-02 00:02:51,Pending
ORD_185,"(26.76633, 81.06094)","(26.87949, 80.6796)",4.03,2025-03-01 14:07:17,Pending
ORD_186,"(26.54432, 80.78593)","(26.77588, 80.8775)",6.42,2025-03-01 23:47:02,Pending
ORD_187,"(27.09287, 81.19808)","(26.54352, 81.10359)",4.61,2025-03-01 05:14:13,Pending
ORD_188,"(26.57631, 80.87083)","(26.89671, 81.19929)",7.22,2025-03-01 01:55:59,Pending
ORD_189,"(26.61394, 80.5297)","(26.80314, 81.07984)",3.91,2025-03-01 08:43:31,Pending
ORD_190,"(26.52047, 81.03757)","(26.83512, 80.51102)",5.65,2025-03-01 18:16:29,Pending
ORD_191,"(26.58915, 80.91533)","(27.06351, 80.84182)",2.44,2025-03-01 05:24:05,Pending
ORD_192,"(26.57869, 80.79271)","(26.64792, 80.54419)",7.73,2025-03-01 02:20:22,Pending
ORD_193,"(26.97954, 80.6505)","(27.05014, 81.09648)",3.33,2025-03-01 12:07:59,Pending
ORD_194,"(27.0946, 80.71629)","(26.82252, 81.08636)",2.19,2025-03-01 06:06:07,Pending
ORD_195,"(26.93231, 81.00538)","(27.08556, 80.59035)",7.91,2025-03-01 17:59:21,Pending
ORD_196,"(27.07127, 80.84222)","(27.13092, 80.90034)",1.64,2025-03-01 21:08:35,Pending
ORD_197,"(26.59681, 80.92513)","(27.05234, 80.50757)",9.96,2025-03-01 09:43:06,Pending
ORD_198,"(26.9775, 80.90883)","(26.517, 81.1843)",7.7,2025-03-01 16:39:04,Pending
ORD_199,"(26.54127, 81.10048)","(27.14289, 80.50247)",9.3,2025-03-01 17:41:40,Pending
ORD_200,"(27.12503, 81.09247)","(27.06737, 80.55161)",9.81,2025-03-01 19:25:22,Pending
ORD_201,"(26.69743, 81.00396)","(27.02457, 81.17036)",6.52,2025-03-01 07:19:30,Pending
ORD_202,"(26.81248, 81.02966)","(27.06659, 81.08238)",9.12,2025-03-01 19:18:22,Pending
ORD_203,"(26.77858, 80.61802)","(27.15495, 81.11972)",2.55,2025-03-01 02:54:22,Pending
ORD_204,"(26.66597, 80.9676)","(26.70755, 80.52789)",4.03,2025-03-01 08:34:48,Pending
ORD_205,"(26.56725, 80.92969)","(26.72885, 80.62308)",7.26,2025-03-01 05:51:39,Pending
ORD_206,"(27.08165, 80.83669)","(26.94241, 80.66863)",9.07,2025-03-01 02:55:47,Pending
ORD_207,"(27.11275, 80.69399)","(26.70264, 80.51443)",6.3,2025-03-01 03:10:19,Pending
ORD_208,"(26.58295, 80.80094)","(27.0713, 80.82796)",3.73,2025-03-01 18:02:16,Pending
ORD_209,"(26.58741, 80.54341)","(26.9748, 81.15897)",8.96,2025-03-01 21:58:13,Pending
ORD_210,"(26.66705, 80.75176)","(26.61798, 80.9344)",3.62,2025-03-01 09:05:45,Pending
ORD_211,"(26.95803, 81.21713)","(26.58757, 80.5459)",1.52,2025-03-01 18:21:36,Pending
ORD_212,"(26.82475, 80.53656)","(26.86554, 81.19607)",9.68,2025-03-01 14:12:54,Pending
ORD_213,"(26.51913, 80.65917)","(27.06355, 80.99082)",2.46,2025-03-01 03:48:49,Pending
ORD_214,"(26.55089, 80.60463)","(27.04882, 81.16465)",9.57,2025-03-01 20:43:27,Pending
ORD_215,"(26.96185, 80.64523)","(26.88915, 80.93268)",3.54,2025-03-01 14:52:37,Pending
ORD_216,"(27.11242, 80.63522)","(26.52363, 80.66768)",4.14,2025-03-01 20:58:52,Pending
ORD_217,"(26.68275, 80.65238)","(26.9382, 80.66672)",3.0,2025-03-01 10:29:55,Pending
ORD_218,"(26.90693, 80.68969)","(26.93747, 80.70543)",8.39,2025-03-01 22:12:35,Pending
ORD_219,"(26.96213, 80.87353)","(27.04446, 81.10109)",8.64,2025-03-01 17:10:53,Pending
ORD_220,"(27.0908, 80.76178)","(26.60873, 81.16487)",2.2,2025-03-01 10:28:09,Pending
ORD_221,"(27.10807, 81.01155)","(26.96135, 80.91271)",9.92,2025-03-01 21:54:36,Pending
ORD_222,"(26.59431, 80.85627)","(26.97466, 81.02254)",6.86,2025-03-01 14:54:23,Pending
ORD_223,"(26.96095, 80.88777)","(27.07849, 80.59913)",2.7,2025-03-01 16:05:59,Pending
ORD_224,"(26.53496, 80.62891)","(27.09662, 81.0739)",6.81,2025-03-01 02:20:23,Pending
ORD_225,"(26.53335, 81.07579)","(26.76238, 80.68891)",6.55,2025-03-01 02:46:32,Pending
ORD_226,"(26.54505, 80.59129)","(27.01251, 80.70465)",9.81,2025-03-01 06:21:31,Pending
ORD_227,"(26.70871, 80.87536)","(26.69109, 81.20043)",9.67,2025-03-01 05:54:02,Pending
ORD_228,"(26.71139, 80.62441)","(27.11133, 81.12359)",5.27,2025-03-01 15:23:10,Pending
ORD_229,"(26.66194, 80.77982)","(26.98852, 80.60185)",4.47,2025-03-01 08:08:23,Pending
ORD_230,"(26.58436, 80.96925)","(26.56606, 81.19362)",1.2,2025-03-01 09:32:43,Pending
ORD_231,"(27.09594, 81.12066)","(26.76273, 80.77484)",1.21,2025-03-01 10:07:39,Pending
ORD_232,"(26.90538, 80.50057)","(27.15181, 81.05923)",5.87,2025-03-01 13:28:24,Pending
ORD_233,"(26.98312, 81.13042)","(26.50029, 80.5205)",7.91,2025-03-01 03:51:20,Pending
ORD_234,"(26.58166, 80.67951)","(27.10079, 80.78538)",5.52,2025-03-01 02:25:29,Pending
ORD_235,"(26.85089, 81.11607)","(26.8033, 81.16855)",7.79,2025-03-01 23:39:19,Pending
ORD_236,"(26.8919, 81.18684)","(26.96127, 81.14027)",4.81,2025-03-01 16:31:20,Pending
ORD_237,"(26.84108, 81.08643)","(26.57235, 81.12957)",5.94,2025-03-01 22:07:15,Pending
ORD_238,"(27.11346, 80.53795)","(27.03335, 81.03217)",1.42,2025-03-01 08:39:32,Pending
ORD_239,"(26.69063, 81.03487)","(27.12948, 80.72045)",3.82,2025-03-01 07:05:54,Pending
ORD_240,"(26.66051, 80.7417)","(26.70243, 80.88832)",5.51,2025-03-01 10:30:11,Pending
ORD_241,"(26.99981, 80.6773)","(27.02683, 81.13605)",9.0,2025-03-01 22:10:21,Pending
ORD_242,"(26.55777, 81.03613)","(26.59056, 81.17279)",4.55,2025-03-01 05:24:54,Pending
ORD_243,"(27.04408, 80.52158)","(27.06124, 80.56983)",7.0,2025-03-01 09:02:17,Pending
ORD_244,"(26.77612, 80.76867)","(26.59517, 81.0583)",6.56,2025-03-01 14:44:57,Pending
ORD_245,"(27.14599, 80.83589)","(26.73517, 80.85573)",8.87,2025-03-01 17:35:42,Pending
ORD_246,"(26.63613, 80.9454)","(26.83528, 80.59187)",7.66,2025-03-01 18:13:18,Pending
ORD_247,"(26.91487, 80.57776)","(26.53509, 80.9655)",4.94,2025-03-01 00:47:54,Pending
ORD_248,"(26.94469, 80.83147)","(26.70027, 80.9054)",4.08,2025-03-01 05:10:19,Pending
ORD_249,"(26.72163, 81.1856)","(26.68316, 81.10822)",7.58,2025-03-01 02:03:19,Pending
ORD_250,"(26.89283, 80.54415)","(26.66602, 80.649)",8.29,2025-03-01 22:35:27,Pending
ORD_251,"(27.11539, 81.21944)","(27.00704, 80.59836)",8.28,2025-03-01 14:29:34,Pending
ORD_252,"(26.96452, 81.1491)","(26.63031, 81.02663)",6.11,2025-03-01 08:17:35,Pending
ORD_253,"(27.02776, 80.7672)","(26.77902, 80.87337)",8.42,2025-03-01 06:53:52,Pending
ORD_254,"(26.99127, 81.01657)","(26.74549, 80.84296)",1.9,2025-03-01 06:53:02,Pending
ORD_255,"(26.68851, 80.71831)","(27.00849, 80.68385)",2.98,2025-03-01 14:17:17,Pending
ORD_256,"(26.96461, 81.09628)","(26.50685, 80.78551)",9.73,2025-03-01 15:18:30,Pending
ORD_257,"(26.57332, 80.69399)","(26.65846, 81.19896)",2.21,2025-03-01 23:15:16,Pending
